S	Exchange id	Exchange code	Exchange name	Symbol	realtime symbol	Korea name	English name	"Security type(1:Index,2:Stock,3:ETP(ETF),4:Warrant)"	currency	float position	data type	base price	Bid order size	Ask order size	market start time(HHMM)	market end time(HHMM)	DR 여부(Y/N)	DR 국가코드	업종분류코드	"지수구성종목 존재 여부(0:구성종목없음,1:구성종목있음)"	Tick size Type	"구분코드(001:ETF,002:ETN,003:ETC,004:Others,005:VIX Underlying ETF,006:VIX Underlying ETN)"	Tick size type 상세
US	22	NAS	나스닥	AADI	NASAADI	AADI 바이오사이언스	AADI BIOSCIENCE INC	2	USD	4		1.83	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	AADR	NASAADR	ADVISORSHARES TRUST ADVISORSHARES DORSEY WRIGHT ADR ETF	ADVISORSHARES TRUST ADVISORSHARES DORSEY WRIGHT ADR ETF	3	USD	4		64.25	1	1	930	1600	N		0	0	0	001	   
US	22	NAS	나스닥	AAGR	NASAAGR	아프리칸 애그리컬처 홀딩스	AFRICAN AGRICULTURE HOLDINGS INC	2	USD	4		0.158	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	AAL	NASAAL	아메리칸 에어라인스 그룹	AMERICAN AIRLINES GROUP INC	2	USD	4		11.11	1	1	930	1600	N		270	0	0	   	   
US	22	NAS	나스닥	AAME	NASAAME	애틀랜틱 아메리칸	ATLANTIC AMERICAN CORP	2	USD	4		1.635	1	1	930	1600	N		620	0	1	   	   
US	22	NAS	나스닥	AAOI	NASAAOI	어플라이드 옵토일렉트로닉스	APPLIED OPTOELECTRONICS INC	2	USD	4		14.2	1	1	930	1600	N		740	0	1	   	   
US	22	NAS	나스닥	AAON	NASAAON	에이에이온	AAON INC	2	USD	4		102.45	1	1	930	1600	N		220	0	1	   	   
US	22	NAS	나스닥	AAPB	NASAAPB	GRANITESHARES ETF TRUST 2X LONG AAPL DAILY ETF	GRANITESHARES ETF TRUST 2X LONG AAPL DAILY ETF	3	USD	4		29.05	1	1	930	1600	N		0	0	0	001	   
US	22	NAS	나스닥	AAPD	NASAAPD	DIREXION SHARES ETF TRUST DAILY AAPL BEAR 1X SHS	DIREXION SHARES ETF TRUST DAILY AAPL BEAR 1X SHS	3	USD	4		16.85	1	1	930	1600	N		0	0	0	001	   
US	22	NAS	나스닥	AAPL	NASAAPL	애플	APPLE INC	2	USD	4		228.87	1	1	930	1600	N		730	0	0	   	   
US	22	NAS	나스닥	AAPU	NASAAPU	DIREXION DAILY AAPL BULL 2X SHARES	DIREXION SHARES ETF TRUST DAILY AAPL BULL 2X SHARES	3	USD	4		37.12	1	1	930	1600	N		0	0	0	001	   
US	22	NAS	나스닥	AAXJ	NASAAXJ	ISHARES TRUST MSCI ALL COUNTRY ASIA EX JAPAN ETF	ISHARES TRUST MSCI ALL COUNTRY ASIA EX JAPAN ETF	3	USD	4		73.92	1	1	930	1600	N		0	0	0	001	   
US	22	NAS	나스닥	ABAT	NASABAT	아메리칸 배터리 테크놀로지	AMERICAN BATTERY TECHNOLOGY CO	2	USD	4		1.01	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	ABCL	NASABCL	앱셀레라 바이오로직스	ABCELLERA BIOLOGICS INC	2	USD	4		2.74	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	ABCS	NASABCS	EA SERIES TRUST ALPHA BLUE CAP US SM-MID CAP DYNAMIC ETF	EA SERIES TRUST ALPHA BLUE CAP US SM-MID CAP DYNAMIC ETF	3	USD	4		28.3957	1	1	930	1600	N		0	0	0	001	   
US	22	NAS	나스닥	ABEO	NASABEO	아베오나 테라퓨틱스	ABEONA THERAPEUTICS INC	2	USD	4		5.8	1	1	930	1600	N		530	0	1	   	   
