National code	Exchange id	Exchange code	Exchange name	Symbol	realtime symbol	Korea name	English name	"Security type(1:Index,2:Stock,3:ETP(ETF),4:Warrant)"	currency	float position	data type	base price	Bid order size	Ask order size	market start time(HHMM)	market end time(HHMM)	DR 여부(Y/N)	DR 국가코드	업종분류코드	"지수구성종목 존재 여부(0:구성종목없음,1:구성종목있음)"	Tick size Type	"구분코드(001:ETF,002:ETN,003:ETC,004:Others,005:VIX Underlying ETF,006:VIX Underlying ETN)"	Tick size type 상세
US	21	NYS	뉴욕	AA	NYSAA	알코아	ALCOA CORPORATION	2	USD	4		34.92	1	1	930	1600	N		130	0	0	   	   
US	21	NYS	뉴욕	AACT	NYSAACT	아레스 애퀴지션 2	ARES ACQUISITION CORPORATION II	2	USD	4		10.815	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	AACT/UN	NYSAACT/UN	아레스 애퀴지션 2 유닛	ARES ACQUISITION CORPORATION II UNIT 1 CL A & 1/2 WT	2	USD	4		10.9	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	AAM	NYSAAM	AA 미션 애퀴지션	AA MISSION ACQUISITION CORP.	2	USD	4		9.98	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	AAM/UN	NYSAAM/UN	AA 미션 애퀴지션 유닛	AA MISSION ACQUISITION CORP. UNITS(1 ORD A & 1/2 WT)	2	USD	4		10.01	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	AAN	NYSAAN	더 아론스 컴퍼니	THE AARONS COMPANY INC	2	USD	4		10.04	1	1	930	1600	N		380	0	1	   	   
US	21	NYS	뉴욕	AAP	NYSAAP	어드밴스 오토 파츠	ADVANCE AUTO PARTS INC	2	USD	4		42.43	1	1	930	1600	N		380	0	0	   	   
US	21	NYS	뉴욕	AAT	NYSAAT	아메리칸 에세츠 트러스트	AMERICAN ASSETS TRUST INC	2	USD	4		27.37	1	1	930	1600	N		630	0	0	   	   
US	21	NYS	뉴욕	AB	NYSAB	얼라이언스번스틴 홀딩	ALLIANCEBERNSTEIN HOLDING LP	2	USD	4		35.15	1	1	930	1600	N		640	0	1	   	   
US	21	NYS	뉴욕	ABBV	NYSABBV	애브비	ABBVIE INC	2	USD	4		193.62	1	1	930	1600	N		530	0	0	   	   
US	21	NYS	뉴욕	ABCB	NYSABCB	아메리스 뱅코프	AMERIS BANCORP	2	USD	4		65.14	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	ABEV	NYSABEV	암베브(ADR)	AMBEV SA SPON ADR EACH REP 1 ORD SHS	2	USD	4		2.39	1	1	930	1600	N		410	0	0	   	   
US	21	NYS	뉴욕	ABG	NYSABG	애즈버리 오토모티브 그룹	ASBURY AUTOMOTIVE GROUP INC	2	USD	4		227.34	1	1	930	1600	N		380	0	1	   	   
US	21	NYS	뉴욕	ABM	NYSABM	ABM 인더스트리스	ABM INDUSTRIES INC	2	USD	4		51.83	1	1	930	1600	N		260	0	1	   	   
US	21	NYS	뉴욕	ABR	NYSABR	아버 리얼티 트러스트	ARBOR REALTY TRUST INC	2	USD	4		15.16	1	1	930	1600	N		630	0	0	   	   
US	21	NYS	뉴욕	ABR/D	NYSABR/D	아버 리얼티 트러스트 우선주 D(6.375% 누적 상환)	ARBOR REALTY TRUST INC 6.375% SERIES D CUMULATIVE RED PFD ST	2	USD	4		19.48	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	ABR/E	NYSABR/E	아버 리얼티 트러스트 우선주 E(상환)	ARBOR REALTY TRUST INC SER E CUM RED PFD SHS	2	USD	4		19.4501	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	ABR/F	NYSABR/F	아버 리얼티 트러스트 우선주 F(6.250% 누적)	ARBOR REALTY TRUST INC 6.25% SER F FXD/FLTG RATE CUMULATIVE	2	USD	4		19.56	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	ABT	NYSABT	애보트 래브러토리스	ABBOTT LABORATORIES	2	USD	4		114.15	1	1	930	1600	N		510	0	0	   	   
US	21	NYS	뉴욕	AC	NYSAC	어소시에이티드 캐피털 그룹	ASSOCIATED CAP GROUP INC	2	USD	4		33.65	1	1	930	1600	N		640	0	1	   	   
US	21	NYS	뉴욕	ACA	NYSACA	아코사	ARCOSA INC	2	USD	4		95.27	1	1	930	1600	N		220	0	0	   	   
US	21	NYS	뉴욕	ACCO	NYSACCO	애코 브랜즈	ACCO BRANDS CORPORATION	2	USD	4		5.46	1	1	930	1600	N		260	0	1	   	   
US	21	NYS	뉴욕	ACEL	NYSACEL	악셀 엔터테인먼트	ACCEL ENTERTAINMENT INC	2	USD	4		12.09	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	ACHR	NYSACHR	아처 에비에이션	ARCHER AVIATION INC	2	USD	4		3.05	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	ACI	NYSACI	앨버트슨 컴퍼니스	ALBERTSONS COMPANIES INC	2	USD	4		18.56	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	ACM	NYSACM	애이콤 테크놀로지	AECOM	2	USD	4		101.24	1	1	930	1600	N		220	0	0	   	   
US	21	NYS	뉴욕	ACN	NYSACN	액센추어	ACCENTURE PLC	2	USD	4		335.24	1	1	930	1600	N		720	0	0	   	   
US	21	NYS	뉴욕	ACP	NYSACP	ABERDEEN INCOME CREDIT STRATEGIES FUND	ABRDN INCOME CREDIT STRATEGIES FUND	3	USD	4		6.46	1	1	930	1600	N		0	0	0	004	   
US	21	NYS	뉴욕	ACP/A	NYSACP/A	ABERDEEN INCOME CREDIT STRATEGIES FUND PREFERRED A(5.250%)	ABRDN INCOME CREDIT STRATEGIES FUND 5.250% CUM PERPETUAL PFD	2	USD	4		23.9819	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	ACR	NYSACR	에이커스 커머셜 리얼티	ACRES COMMERCIAL REALTY CORP	2	USD	4		15.45	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	ACR/C	NYSACR/C	에이커스 커머셜 리얼티 우선주 C(8.625% 누적 상환)	ACRES COMMERCIAL REALTY CORP 8.625% CUM RED FXD TO FLOATING	2	USD	4		25.25	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	ACR/D	NYSACR/D	에이커스 커머셜 리얼티 우선주 D(7.875% 누적 상환)	ACRES COMMERCIAL REALTY CORP 7.875% CUM RED PREF SER D	2	USD	4		23.4	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	ACRE	NYSACRE	아레스 커머셜 리얼 에스테이트	ARES COMMERCIAL REAL ESTATE	2	USD	4		7.81	1	1	930	1600	N		630	0	0	   	   
US	21	NYS	뉴욕	ACV	NYSACV	VIRTUS DIVERSIFIED INCOME & CONVERTIBLE FUND	VIRTUS DIVERSIFIED INCOME & CONVERT	3	USD	4		21.47	1	1	930	1600	N		0	0	0	004	   
US	21	NYS	뉴욕	ADC	NYSADC	어그리 리얼티	AGREE REALTY CORP	2	USD	4		74.13	1	1	930	1600	N		630	0	0	   	   
US	21	NYS	뉴욕	ADC/A	NYSADC/A	어그리 리얼티 우선주 A(4.250% 누적)	AGREE REALTY CORP DEP SHS EA REP 1/1000 CUM PFD STK SR A	2	USD	4		20.3715	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	ADCT	NYSADCT	ADC 테라퓨틱스	ADC THERAPEUTICS SA	2	USD	4		3.21	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	ADM	NYSADM	아처 대니얼스 미들랜드	ARCHER-DANIELS-MIDLAND CO	2	USD	4		62.45	1	1	930	1600	N		410	0	0	   	   
US	21	NYS	뉴욕	ADNT	NYSADNT	애디언트	ADIENT PLC	2	USD	4		22.59	1	1	930	1600	N		320	0	0	   	   
US	21	NYS	뉴욕	ADT	NYSADT	ADT	ADT INC	2	USD	4		7.37	1	1	930	1600	N		260	0	0	   	   
US	21	NYS	뉴욕	ADX	NYSADX	ADAMS DIVERSIFIED EQUITY FUND	ADAMS DIVERSIFIED EQUITY FUND INC	3	USD	4		21.51	1	1	930	1600	N		0	0	0	004	   
US	21	NYS	뉴욕	AEE	NYSAEE	애머런	AMEREN CORP	2	USD	4		83.62	1	1	930	1600	N		930	0	0	   	   
